TI_CT_PPHE_1,TI_CT_PPHE_2,TI_CT_PPHE_3,TI_CT_1,TI_CT_2,TI_CT_3,TI_PPHE_1,TI_PPHE_2,TI_PPHE_3,Protein,Gene,Descrip,TI_PPHE,TI_CT_PPHE,TI_CT,Type
17.424811843444907,18.311369647439644,19.236298657156677,18.205124000670875,17.788942302935688,17.05771791894185,18.486358576269602,17.041252016721476,16.580846798555132,A1L595,K1C17," Keratin, type I cytoskeletal 17 OS=Bos taurus GN=KRT17 PE=2 SV=1",17.36948579718207,18.324160049347075,17.683928074182802,B
21.2916000869422,20.973841205239736,21.03422569155721,20.288518894986478,20.129934358558593,21.87239097669417,21.602571375989868,21.466858029854315,21.552914359352343,A2I7M9,SPA32, Serpin A3-2 OS=Bos taurus GN=SERPINA3-2 PE=3 SV=1,21.540781255065507,21.099888994579715,20.76361474341308,B
24.92962484177298,25.07866872913143,24.94510209645225,23.875589058669622,24.579614741833645,24.202424875166628,24.59781463737915,24.729528916615788,24.751611152930085,A2I7N0,SPA34, Serpin A3-4 OS=Bos taurus GN=SERPINA3-4 PE=3 SV=1,24.69298490230834,24.98446522245222,24.21920955855663,B
18.419637712374563,18.4745119493718,18.267954927487022,17.75098725530519,17.714531500756,17.988636543434144,18.33109140430266,18.352209602742047,18.49085579634451,A2I7N1,SPA35, Serpin A3-5 OS=Bos taurus GN=SERPINA3-5 PE=3 SV=1,18.391385601129738,18.387368196411128,17.818051766498442,B
23.020087755854625,23.0984742828872,23.51803661061628,21.62504188624933,21.639548074215316,22.523704036926276,22.933698661235244,23.365969468999303,22.766551664128095,A2I7N2,SPA36, Serpin A3-6 OS=Bos taurus GN=SERPINA3-6 PE=3 SV=1,23.022073264787547,23.212199549786035,21.92943133246364,B
26.456494171093627,26.52861093095806,26.665248284709037,25.393931416501673,25.769072235634223,26.068807764602873,26.443459639247358,26.55124968986227,26.326393290262363,A2I7N3,SPA37, Serpin A3-7 OS=Bos taurus GN=SERPINA3-7 PE=3 SV=1,26.44036753979066,26.55011779558691,25.743937138912923,B
23.615854171919672,23.652775551292333,23.925670661973168,22.395572653048678,22.685322748417292,23.39314157419822,23.77100820144356,23.756010269811394,23.45900222116086,A6QPQ2,SPA38, Serpin A3-8 OS=Bos taurus GN=SERPINA3-8 PE=2 SV=1,23.66200689747194,23.73143346172839,22.824678991888064,B
19.257067436616953,19.425930104194844,19.624845207512223,19.347878073221526,19.191696164635403,19.60564817375868,19.317377607799195,19.563304432744108,19.296834790584633,A7E3W2,LG3BP, Galectin-3-binding protein OS=Bos taurus GN=LGALS3BP PE=1 SV=1,19.39250561037598,19.435947582774673,19.381740803871867,B
21.959732274380332,21.880572585830283,22.08838357403317,21.627015727602302,22.02567520534958,21.83423542037759,22.341412876433846,22.089978792451163,22.289602695973088,E1BF81,CBG, Corticosteroid-binding globulin OS=Bos taurus GN=SERPINA6 PE=3 SV=1,22.2403314549527,21.97622947808126,21.828975451109823,B
26.148908653700154,26.260499381824026,26.431005338381595,26.42496287940877,25.919077436961178,26.25609526916822,26.16691774596776,26.340010450435898,26.014532984534107,O46375,TTHY, Transthyretin OS=Bos taurus GN=TTR PE=1 SV=1,26.173820393645922,26.280137791301925,26.20004519517939,B
18.580397588841073,19.25031352148606,19.239180051424896,17.959738888559187,19.352807373870263,19.978429223114404,19.32278072785182,18.858046188729187,18.733379313502585,P00442,SODC, Superoxide dismutase [Cu-Zn] OS=Bos taurus GN=SOD1 PE=1 SV=2,18.97140207669453,19.023297053917343,19.096991828514618,B
25.349882581686526,25.340258940063,25.448209231183025,25.240962016898,25.370008076487846,25.357072616336616,25.373224267159156,25.364600369188167,25.286035552646222,P00735,THRB, Prothrombin OS=Bos taurus GN=F2 PE=1 SV=2,25.341286729664517,25.379450250977516,25.32268090324082,B
